Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
BeatMania IIDX 13: DistorteD,PS2,2007,Simulation,Konami Digital Entertainment,0,0,0,,,,,"",""
Rugrats: Castle Capers,GBA,2001,Action,THQ,0.33,0.12,0.01,,,,,"",""
Overlord II,PS3,2009,Action,Codemasters,0.11,0.15,0.06,72,42,7.6,24,Triumph Studios,T
Barbie as The Island Princess,GBA,2007,Adventure,Activision,0.16,0.06,0,,,,,"",""
Petz: Hamsterz Life 2,GBA,2007,Misc,Ubisoft,0.01,0,0,,,,,"",""
Rollcage Stage II,PS,2000,Racing,Sony Computer Entertainment,0.05,0.03,0.01,85,7,8.9,16,Attention To Detail,E
Syndicate,PS3,2012,Shooter,EA Games,0.07,0.06,0.02,75,29,6.5,106,Starbreeze,M
Sakura Wars,DC,2000,Adventure,Sega,0,0,0,,,,,"",""
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,0.5,,,,,"",""
Pictionary: Ultimate Edition,PS3,2011,Misc,THQ,0.15,0.06,0.03,62,4,,,Page 44 Studios,E
Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,0.32,0.36,0.09,72,27,8.4,61,"Spike, Namco Bandai Games",T
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,1.12,1.87,0.45,,,,,"",""
Di-Gata Defenders,DS,2008,Role-Playing,Game Factory,0.06,0,0,,,,,Mystic Software,E
PDC World Championship Darts 2008,DS,,Sports,Unknown,0.01,0,0,,,,,"",""
Tom Clancy's Splinter Cell: Essentials,PSP,2006,Shooter,Ubisoft,0.17,0.01,0.02,58,37,7.5,39,Ubisoft,M
Country Dance: All Stars,X360,2012,Action,GameMill Entertainment,0.16,0,0.01,,,5.2,5,High Voltage Software,E10+
Kengo: Master of Bushido,PS2,2000,Fighting,Ubisoft,0.16,0.13,0.04,62,13,8.4,8,Light Weight,M
World Series of Poker 2008: Battle for the Bracelets,PSP,2007,Misc,Activision,0.02,0,0,,,6.5,4,Left Field Productions,T
Infinite Space,DS,2009,Role-Playing,Sega,0.06,0.05,0.01,75,46,9,61,PlatinumGames,T
Back to the Future: The Game,PS4,2015,Adventure,Telltale Games,0.1,0.05,0.03,,,7.1,18,Telltale Games,T
DS Bimoji Training,DS,2008,Misc,Nintendo,0,0,0,,,,,"",""
Yoshi's Island DS,DS,2006,Platform,Nintendo,1.45,0.07,0.15,81,42,7.4,67,Artoon,E
Tokimeki Mahjong Paradise: Koi no Tenpai Beat,SAT,1995,Misc,Sonnet,0,0,0,,,,,"",""
Dead Space 2,PS3,2011,Shooter,Electronic Arts,0.73,0.48,0.21,89,78,8.4,535,Visceral Games,M
Legend of Kay,WiiU,2015,Action,Nordic Games,0.03,0.02,0,,,,,"",""
Half-Minute Hero 2,PSP,,Role-Playing,Rising Star Games,0,0,0,,,,,"",""
Rocky,GC,2002,Fighting,Rage Software,0.07,0.02,0,74,17,,,Rage Software,T
