<TICKER>;<PER>;<DATE>;<TIME>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Возрожд-п;W;11/01/10;00:00;580;458.56;569.98;16755
Возрожд-п;W;18/01/10;00:00;589.98;510;515.17;18191
Возрожд-п;W;25/01/10;00:00;538.86;476.06;500;10162
Возрожд-п;W;01/02/10;00:00;534;470;493;6615
Возрожд-п;W;08/02/10;00:00;505;455;479;3633
Возрожд-п;W;15/02/10;00:00;498;460.12;477;3960
Возрожд-п;W;22/02/10;00:00;497.13;465;492.21;2953
Возрожд-п;W;01/03/10;00:00;497.1;473.14;491.07;4152
Возрожд-п;W;08/03/10;00:00;500;470;495.31;7493
Возрожд-п;W;15/03/10;00:00;495.99;480;482.08;5997
Возрожд-п;W;22/03/10;00:00;490;473;486.43;3449
Возрожд-п;W;29/03/10;00:00;486.6;472.01;480.06;4768
Возрожд-п;W;05/04/10;00:00;480.5;455.1;462.99;14898
Возрожд-п;W;12/04/10;00:00;460;422.23;430.87;10622
Возрожд-п;W;19/04/10;00:00;445;402.27;416.01;6594
Возрожд-п;W;26/04/10;00:00;430;395;419.88;5321
Возрожд-п;W;03/05/10;00:00;429.9;330;365.4;14570
Возрожд-п;W;10/05/10;00:00;394;335.06;379.97;11967
Возрожд-п;W;17/05/10;00:00;384.8;302.22;321.96;6430
Возрожд-п;W;24/05/10;00:00;342;290;330;9818
Возрожд-п;W;31/05/10;00:00;347.85;315;340.3;6338
Возрожд-п;W;07/06/10;00:00;343;305;323;5933
Возрожд-п;W;14/06/10;00:00;360;311.01;351.55;10346
Возрожд-п;W;21/06/10;00:00;366.96;288.45;316.01;4356
Возрожд-п;W;28/06/10;00:00;340;308.97;315;3773
Возрожд-п;W;05/07/10;00:00;374;311.11;328.9;3962
Возрожд-п;W;12/07/10;00:00;340.19;311;323.88;4513
Возрожд-п;W;19/07/10;00:00;332;316.06;325.83;2071
Возрожд-п;W;26/07/10;00:00;347;325;339.2;2609
Возрожд-п;W;02/08/10;00:00;365;342.59;350;3824
Возрожд-п;W;09/08/10;00:00;363.99;338;351.5;4517
Возрожд-п;W;16/08/10;00:00;364.99;335.52;351;10226
Возрожд-п;W;23/08/10;00:00;364.17;335.15;348.5;3343
Возрожд-п;W;30/08/10;00:00;429.37;333.29;357;5872
Возрожд-п;W;06/09/10;00:00;373;340.7;364.3;13780
Возрожд-п;W;13/09/10;00:00;375;359.99;360;5801
Возрожд-п;W;20/09/10;00:00;361.98;336.12;355;4810
Возрожд-п;W;27/09/10;00:00;367.87;352;355.89;4814
Возрожд-п;W;04/10/10;00:00;363;350.31;358.64;3941
Возрожд-п;W;11/10/10;00:00;359;347.99;357.48;17339
Возрожд-п;W;18/10/10;00:00;413;354;400;85846
Возрожд-п;W;25/10/10;00:00;418.5;400;410.01;19410
Возрожд-п;W;01/11/10;00:00;440;402.06;416.01;10609
Возрожд-п;W;08/11/10;00:00;442;402;437.5;39542
Возрожд-п;W;15/11/10;00:00;431.66;414.98;420.9;5608
Возрожд-п;W;22/11/10;00:00;449.8;416.1;435.32;12704
Возрожд-п;W;29/11/10;00:00;460;435.99;450.96;10521
Возрожд-п;W;06/12/10;00:00;457;439;441;14811
Возрожд-п;W;13/12/10;00:00;452;432;439.99;7590
Возрожд-п;W;20/12/10;00:00;479.49;429.26;443;4712
Возрожд-п;W;27/12/10;00:00;449.89;430;449.89;5071
Возрожд-п;W;10/01/11;00:00;498;431.01;492;35461
Возрожд-п;W;17/01/11;00:00;496.9;450.49;473.48;14198
Возрожд-п;W;24/01/11;00:00;479;429;464.93;5489
Возрожд-п;W;31/01/11;00:00;462.45;446;446.01;5569
Возрожд-п;W;07/02/11;00:00;446.99;405;425.12;4554
Возрожд-п;W;14/02/11;00:00;449.42;420;440;6020
Возрожд-п;W;21/02/11;00:00;447.85;435;445;23182
Возрожд-п;W;28/02/11;00:00;459.49;425;445;4753
Возрожд-п;W;07/03/11;00:00;458;440.05;458;11340
Возрожд-п;W;14/03/11;00:00;520;428;453;34480
Возрожд-п;W;21/03/11;00:00;489;432.15;489;28380
Возрожд-п;W;28/03/11;00:00;535;442.25;453.98;82130
Возрожд-п;W;04/04/11;00:00;450.05;432.51;441.09;5000
Возрожд-п;W;11/04/11;00:00;450;426.08;426.08;20140
Возрожд-п;W;18/04/11;00:00;432.75;415;428.92;2130
Возрожд-п;W;25/04/11;00:00;428.99;386.66;420;4250
Возрожд-п;W;02/05/11;00:00;425;400.02;415;1860
Возрожд-п;W;09/05/11;00:00;424.2;410;412.03;570
Возрожд-п;W;16/05/11;00:00;428;402;420;1670
Возрожд-п;W;23/05/11;00:00;426.91;402;410.04;3860
Возрожд-п;W;30/05/11;00:00;420;402.01;411.47;1010
Возрожд-п;W;06/06/11;00:00;423.89;402;420.94;810
Возрожд-п;W;13/06/11;00:00;420.94;403.5;414.69;1200
Возрожд-п;W;20/06/11;00:00;417.35;398.85;417.35;1470
Возрожд-п;W;27/06/11;00:00;418.99;400;404;840
Возрожд-п;W;04/07/11;00:00;415;400;402.58;1300
Возрожд-п;W;11/07/11;00:00;415.67;400.06;404.12;2110
Возрожд-п;W;18/07/11;00:00;416.91;400.1;409;1360
Возрожд-п;W;25/07/11;00:00;412;400;405;7590
Возрожд-п;W;01/08/11;00:00;423.93;364.99;376;10670
Возрожд-п;W;08/08/11;00:00;370;341.12;350;2470
Возрожд-п;W;15/08/11;00:00;379.99;311.15;331.5;5500
